matric_percentage,science_aptitude,extracurricular_score,city_tier,recommended_field,college_tier
33.0,0.183,41.9,Urban,Arts/Humanities,Standard College
58.38,0.7,76.9,Rural,Commerce,Standard College
52.19,0.031,47.8,Rural,Commerce,Mid-Tier College
66.27,0.789,38.9,Urban,Commerce,Mid-Tier College
56.42,0.406,36.9,Rural,Commerce,Standard College
57.74,0.683,55.7,Urban,Arts/Humanities,Standard College
78.91,0.149,57.7,Urban,Computer Science,Mid-Tier College
98.43,0.962,100.0,Metro,Pre-Medical,Top-Tier Government College
33.0,0.922,82.8,Urban,Arts/Humanities,Standard College
63.03,0.876,49.7,Rural,Commerce,Standard College
72.99,0.816,25.9,Metro,Computer Science,Mid-Tier College
68.08,0.751,52.5,Rural,Commerce,Top-Tier Government College
62.48,0.021,62.3,Metro,Commerce,Mid-Tier College
46.34,0.469,16.1,Urban,Arts/Humanities,Standard College
52.92,0.209,50.8,Metro,Commerce,Standard College
79.6,0.074,76.9,Urban,Computer Science,Top-Tier Government College
85.21,0.697,41.2,Rural,Pre-Engineering,Top-Tier Government College
69.55,0.993,18.1,Rural,Commerce,Mid-Tier College
54.62,0.973,66.1,Urban,Arts/Humanities,Standard College
69.53,0.392,83.5,Rural,Computer Science,Mid-Tier College
64.16,0.229,46.5,Urban,Arts/Humanities,Standard College
76.73,0.603,54.1,Metro,Computer Science,Mid-Tier College
69.89,0.136,74.6,Metro,Commerce,Mid-Tier College
58.05,0.818,61.8,Urban,Commerce,Mid-Tier College
71.05,0.896,36.8,Urban,Commerce,Top-Tier Government College
49.13,0.612,43.9,Metro,Arts/Humanities,Standard College
81.12,0.883,49.2,Rural,Computer Science,Mid-Tier College
86.92,0.202,51.0,Urban,Pre-Engineering,Top-Tier Government College
49.14,0.878,74.8,Rural,Arts/Humanities,Mid-Tier College
74.74,0.32,30.1,Urban,Commerce,Mid-Tier College
52.14,0.512,59.0,Urban,Arts/Humanities,Standard College
85.15,0.922,47.8,Urban,Computer Science,Top-Tier Government College
82.47,0.505,8.7,Rural,Pre-Engineering,Mid-Tier College
64.32,0.801,65.9,Urban,Commerce,Mid-Tier College
83.92,0.214,53.9,Metro,Computer Science,Mid-Tier College
61.1,0.048,24.6,Urban,Commerce,Standard College
57.71,0.944,14.7,Urban,Arts/Humanities,Standard College
58.9,0.919,70.2,Rural,Arts/Humanities,Mid-Tier College
65.75,0.784,85.3,Metro,Computer Science,Mid-Tier College
62.83,0.496,52.8,Urban,Commerce,Mid-Tier College
70.47,0.231,46.4,Metro,Commerce,Top-Tier Government College
58.16,0.041,65.8,Urban,Arts/Humanities,Mid-Tier College
80.24,0.857,37.5,Urban,Computer Science,Mid-Tier College
84.34,0.896,40.3,Metro,Pre-Engineering,Top-Tier Government College
60.07,0.242,70.4,Rural,Arts/Humanities,Standard College
45.17,0.656,27.6,Urban,Arts/Humanities,Mid-Tier College
79.58,0.505,74.4,Urban,Computer Science,Mid-Tier College
86.22,0.492,57.0,Metro,Computer Science,Top-Tier Government College
65.39,0.482,77.7,Metro,Commerce,Top-Tier Government College
47.42,0.513,13.0,Urban,Arts/Humanities,Mid-Tier College
72.27,0.066,77.5,Metro,Computer Science,Mid-Tier College
92.39,0.225,49.0,Rural,Pre-Engineering,Top-Tier Government College
37.98,0.236,63.9,Rural,Arts/Humanities,Standard College
75.65,0.401,34.3,Urban,Computer Science,Top-Tier Government College
62.98,0.387,30.0,Urban,Commerce,Standard College
54.31,0.981,74.5,Metro,Commerce,Standard College
75.97,0.926,60.8,Rural,Computer Science,Mid-Tier College
47.22,0.698,62.3,Urban,Arts/Humanities,Standard College
72.75,0.37,65.0,Urban,Computer Science,Mid-Tier College
89.01,0.564,63.5,Urban,Pre-Medical,Top-Tier Government College
70.83,0.479,18.6,Metro,Commerce,Mid-Tier College
53.98,0.37,44.7,Urban,Commerce,Standard College
39.53,0.855,44.0,Rural,Arts/Humanities,Standard College
47.49,0.773,92.3,Rural,Arts/Humanities,Standard College
38.54,0.714,78.5,Metro,Arts/Humanities,Standard College
93.59,0.371,32.9,Rural,Pre-Engineering,Top-Tier Government College
64.01,0.404,20.5,Rural,Commerce,Standard College
51.28,0.361,65.8,Urban,Arts/Humanities,Standard College
47.23,0.688,62.9,Rural,Arts/Humanities,Mid-Tier College
50.92,0.736,79.4,Urban,Commerce,Standard College
62.63,0.809,27.5,Urban,Commerce,Standard College
47.48,0.567,85.4,Urban,Arts/Humanities,Mid-Tier College
94.82,0.297,55.2,Rural,Pre-Engineering,Top-Tier Government College
56.04,0.801,77.7,Urban,Commerce,Mid-Tier College
55.48,0.622,57.0,Metro,Commerce,Mid-Tier College
72.92,0.963,42.7,Urban,Commerce,Mid-Tier College
91.21,0.373,35.0,Rural,Pre-Engineering,Top-Tier Government College
89.18,0.164,79.3,Metro,Pre-Engineering,Top-Tier Government College
60.19,0.838,0.0,Metro,Commerce,Mid-Tier College
72.09,0.002,73.6,Rural,Commerce,Mid-Tier College
70.39,0.16,65.4,Rural,Commerce,Mid-Tier College
76.48,0.609,37.0,Rural,Commerce,Top-Tier Government College
72.09,0.691,67.1,Metro,Commerce,Mid-Tier College
52.9,0.253,48.6,Metro,Commerce,Standard College
47.84,0.033,24.5,Rural,Arts/Humanities,Standard College
70.81,0.554,45.2,Urban,Commerce,Top-Tier Government College
49.06,0.779,63.1,Metro,Arts/Humanities,Standard College
89.81,0.991,52.0,Rural,Pre-Medical,Top-Tier Government College
68.64,0.31,35.3,Urban,Commerce,Mid-Tier College
51.58,0.306,65.0,Metro,Arts/Humanities,Standard College
62.85,0.707,66.2,Metro,Commerce,Mid-Tier College
59.88,0.786,76.0,Urban,Arts/Humanities,Standard College
65.9,0.287,55.4,Metro,Commerce,Mid-Tier College
83.13,0.11,81.7,Metro,Computer Science,Mid-Tier College
44.89,0.251,36.1,Metro,Arts/Humanities,Standard College
38.12,0.25,41.8,Rural,Arts/Humanities,Standard College
73.41,0.513,21.3,Metro,Computer Science,Top-Tier Government College
65.16,0.193,49.2,Metro,Commerce,Mid-Tier College
70.61,0.074,51.8,Rural,Commerce,Mid-Tier College
75.11,0.965,49.9,Metro,Commerce,Mid-Tier College
65.1,0.606,24.1,Rural,Commerce,Top-Tier Government College
80.8,0.017,71.3,Metro,Computer Science,Mid-Tier College
53.71,0.715,15.5,Urban,Commerce,Standard College
69.03,0.182,30.9,Rural,Computer Science,Mid-Tier College
54.71,0.395,0.0,Rural,Commerce,Mid-Tier College
49.92,0.549,71.7,Urban,Arts/Humanities,Mid-Tier College
77.85,0.733,66.6,Urban,Commerce,Mid-Tier College
77.1,0.963,46.2,Urban,Commerce,Mid-Tier College
36.93,0.251,56.9,Urban,Arts/Humanities,Standard College
50.05,0.04,24.5,Rural,Arts/Humanities,Standard College
72.67,0.2,27.8,Metro,Commerce,Mid-Tier College
85.12,0.329,29.9,Metro,Computer Science,Top-Tier Government College
57.34,0.217,56.6,Metro,Arts/Humanities,Standard College
65.06,0.422,42.0,Urban,Computer Science,Mid-Tier College
45.39,0.428,53.6,Metro,Arts/Humanities,Mid-Tier College
100.0,0.948,28.0,Urban,Pre-Medical,Top-Tier Government College
75.6,0.95,22.2,Rural,Computer Science,Top-Tier Government College
82.31,0.438,58.7,Urban,Pre-Engineering,Top-Tier Government College
78.53,0.363,56.0,Urban,Computer Science,Top-Tier Government College
82.93,0.884,59.1,Urban,Pre-Engineering,Mid-Tier College
77.73,0.701,37.0,Metro,Computer Science,Mid-Tier College
62.64,0.887,55.6,Metro,Commerce,Mid-Tier College
79.9,0.423,17.9,Rural,Pre-Engineering,Top-Tier Government College
69.27,0.022,27.4,Metro,Computer Science,Mid-Tier College
88.75,0.299,56.7,Metro,Pre-Engineering,Top-Tier Government College
56.23,0.201,30.5,Metro,Arts/Humanities,Mid-Tier College
59.34,0.621,24.8,Urban,Commerce,Mid-Tier College
78.58,0.59,30.6,Metro,Computer Science,Mid-Tier College
88.47,0.11,84.4,Metro,Pre-Engineering,Top-Tier Government College
70.32,0.801,41.3,Metro,Commerce,Mid-Tier College
56.6,0.681,56.4,Metro,Commerce,Standard College
66.1,0.414,46.8,Urban,Commerce,Top-Tier Government College
60.03,0.438,100.0,Metro,Arts/Humanities,Mid-Tier College
98.35,0.467,48.1,Rural,Pre-Engineering,Top-Tier Government College
82.38,0.683,72.1,Rural,Computer Science,Mid-Tier College
88.23,0.487,69.9,Urban,Pre-Engineering,Top-Tier Government College
72.82,0.901,59.4,Urban,Commerce,Mid-Tier College
59.12,0.627,50.8,Metro,Arts/Humanities,Standard College
86.77,0.362,19.2,Metro,Pre-Engineering,Top-Tier Government College
94.46,0.777,62.3,Rural,Pre-Medical,Top-Tier Government College
77.31,0.58,95.9,Urban,Computer Science,Mid-Tier College
67.61,0.189,62.0,Rural,Commerce,Top-Tier Government College
85.3,0.664,93.0,Urban,Computer Science,Top-Tier Government College
62.06,0.896,65.9,Metro,Commerce,Standard College
80.23,0.461,70.0,Metro,Pre-Engineering,Top-Tier Government College
56.61,0.579,41.3,Urban,Commerce,Mid-Tier College
52.47,0.074,48.4,Metro,Commerce,Mid-Tier College
77.06,0.056,61.0,Rural,Commerce,Mid-Tier College
73.41,0.256,74.4,Rural,Commerce,Mid-Tier College
98.47,0.95,29.9,Rural,Pre-Medical,Top-Tier Government College
63.52,0.105,21.5,Urban,Commerce,Mid-Tier College
68.38,0.318,48.7,Rural,Commerce,Top-Tier Government College
49.76,0.658,48.8,Urban,Arts/Humanities,Standard College
38.09,0.893,60.7,Rural,Arts/Humanities,Standard College
39.51,0.959,86.3,Rural,Arts/Humanities,Standard College
75.41,0.641,39.5,Metro,Computer Science,Mid-Tier College
49.17,0.045,89.7,Urban,Arts/Humanities,Standard College
86.03,0.44,62.8,Metro,Computer Science,Top-Tier Government College
90.76,0.899,51.6,Urban,Pre-Medical,Top-Tier Government College
63.43,0.307,16.3,Rural,Arts/Humanities,Mid-Tier College
94.53,0.006,81.8,Metro,Pre-Engineering,Top-Tier Government College
71.64,0.924,87.7,Metro,Commerce,Mid-Tier College
86.0,0.891,61.0,Urban,Pre-Engineering,Top-Tier Government College
64.39,0.728,61.6,Metro,Commerce,Mid-Tier College
83.35,0.167,42.2,Metro,Computer Science,Mid-Tier College
52.91,0.718,11.2,Metro,Commerce,Mid-Tier College
77.96,0.125,34.5,Urban,Computer Science,Mid-Tier College
60.65,0.249,21.0,Urban,Commerce,Standard College
65.91,0.024,22.5,Urban,Computer Science,Mid-Tier College
78.11,0.215,33.3,Metro,Pre-Engineering,Mid-Tier College
70.76,0.887,38.7,Rural,Computer Science,Top-Tier Government College
66.81,0.747,61.2,Rural,Computer Science,Top-Tier Government College
79.64,0.677,77.5,Metro,Computer Science,Mid-Tier College
80.85,0.602,46.1,Metro,Pre-Engineering,Mid-Tier College
45.84,0.218,66.9,Rural,Arts/Humanities,Mid-Tier College
76.94,0.087,43.2,Urban,Commerce,Mid-Tier College
78.74,0.253,44.0,Rural,Pre-Engineering,Top-Tier Government College
55.97,0.859,57.4,Urban,Arts/Humanities,Standard College
74.17,0.516,37.4,Metro,Computer Science,Top-Tier Government College
46.81,0.07,55.4,Urban,Arts/Humanities,Standard College
91.03,0.284,40.2,Urban,Pre-Engineering,Top-Tier Government College
64.2,0.451,32.3,Urban,Commerce,Mid-Tier College
66.74,0.176,36.4,Rural,Commerce,Mid-Tier College
87.16,0.107,81.4,Metro,Computer Science,Top-Tier Government College
65.72,0.49,55.2,Rural,Commerce,Mid-Tier College
77.58,0.876,40.7,Metro,Commerce,Top-Tier Government College
51.24,0.231,53.6,Metro,Arts/Humanities,Standard College
58.88,0.435,34.4,Urban,Arts/Humanities,Mid-Tier College
45.72,0.798,40.3,Metro,Arts/Humanities,Standard College
64.67,0.565,42.6,Rural,Commerce,Standard College
84.5,0.631,15.5,Urban,Computer Science,Mid-Tier College
71.58,0.715,46.4,Rural,Commerce,Top-Tier Government College
82.15,0.814,58.7,Urban,Pre-Engineering,Mid-Tier College
51.58,0.053,55.4,Urban,Commerce,Standard College
53.87,0.571,46.8,Urban,Arts/Humanities,Standard College
60.55,0.087,71.5,Rural,Arts/Humanities,Standard College
77.16,0.16,33.0,Metro,Commerce,Top-Tier Government College
73.7,0.051,72.4,Rural,Commerce,Top-Tier Government College
67.76,0.175,69.7,Urban,Commerce,Mid-Tier College
77.96,0.874,54.0,Rural,Computer Science,Mid-Tier College
65.58,0.169,80.7,Urban,Commerce,Mid-Tier College
67.66,0.022,33.7,Metro,Computer Science,Top-Tier Government College
88.88,0.254,54.9,Metro,Pre-Engineering,Top-Tier Government College
58.62,0.769,46.9,Urban,Commerce,Standard College
70.92,0.53,34.2,Urban,Computer Science,Top-Tier Government College
93.79,0.544,43.3,Rural,Pre-Medical,Top-Tier Government College
69.63,0.66,58.0,Urban,Computer Science,Mid-Tier College
79.3,0.313,58.0,Metro,Computer Science,Mid-Tier College
58.29,0.789,62.6,Rural,Commerce,Standard College
99.3,0.493,36.3,Urban,Pre-Engineering,Top-Tier Government College
33.0,0.309,47.8,Metro,Arts/Humanities,Standard College
49.85,0.262,47.5,Urban,Arts/Humanities,Mid-Tier College
51.14,0.983,36.5,Urban,Commerce,Mid-Tier College
93.92,0.787,49.5,Metro,Pre-Medical,Top-Tier Government College
73.64,0.556,6.6,Urban,Commerce,Top-Tier Government College
63.8,0.513,26.2,Rural,Arts/Humanities,Mid-Tier College
47.49,0.607,39.7,Urban,Arts/Humanities,Standard College
73.83,0.024,42.1,Urban,Commerce,Top-Tier Government College
69.82,0.083,62.8,Rural,Commerce,Top-Tier Government College
56.91,0.648,38.5,Metro,Commerce,Mid-Tier College
44.14,0.673,83.7,Metro,Arts/Humanities,Standard College
50.36,0.889,20.1,Urban,Arts/Humanities,Standard College
71.41,0.616,86.8,Metro,Commerce,Mid-Tier College
72.98,0.743,30.5,Urban,Computer Science,Mid-Tier College
69.17,0.565,26.6,Urban,Commerce,Mid-Tier College
65.57,0.402,34.6,Rural,Commerce,Mid-Tier College
39.7,0.456,37.1,Metro,Arts/Humanities,Standard College
68.78,0.954,43.6,Metro,Commerce,Top-Tier Government College
51.48,0.933,40.3,Metro,Commerce,Standard College
68.67,0.883,58.7,Metro,Commerce,Mid-Tier College
75.44,0.573,65.2,Urban,Computer Science,Mid-Tier College
57.19,0.214,28.2,Rural,Arts/Humanities,Standard College
51.63,0.078,74.4,Metro,Commerce,Mid-Tier College
83.9,0.91,54.6,Metro,Pre-Engineering,Mid-Tier College
73.63,0.103,49.6,Rural,Computer Science,Mid-Tier College
57.81,0.356,66.6,Metro,Arts/Humanities,Mid-Tier College
33.0,0.813,47.7,Metro,Arts/Humanities,Standard College
67.21,0.206,78.6,Rural,Commerce,Mid-Tier College
78.07,0.797,25.2,Rural,Pre-Engineering,Mid-Tier College
85.94,0.237,74.0,Urban,Pre-Engineering,Top-Tier Government College
57.15,0.785,40.1,Urban,Commerce,Mid-Tier College
57.71,0.712,64.3,Urban,Commerce,Standard College
60.91,0.286,40.6,Rural,Commerce,Standard College
81.41,0.337,83.0,Urban,Computer Science,Top-Tier Government College
49.2,0.363,57.4,Urban,Arts/Humanities,Standard College
66.19,0.578,64.7,Metro,Computer Science,Mid-Tier College
53.19,0.907,28.3,Metro,Arts/Humanities,Mid-Tier College
72.3,0.546,19.9,Urban,Commerce,Mid-Tier College
43.13,0.416,54.5,Urban,Arts/Humanities,Standard College
74.02,0.391,80.1,Urban,Commerce,Top-Tier Government College
60.05,0.175,53.0,Rural,Arts/Humanities,Standard College
64.42,0.67,20.2,Metro,Commerce,Standard College
76.41,0.496,83.9,Urban,Commerce,Top-Tier Government College
86.3,0.895,39.4,Urban,Pre-Engineering,Top-Tier Government College
40.85,0.516,65.0,Urban,Arts/Humanities,Standard College
84.06,0.956,33.3,Urban,Pre-Engineering,Mid-Tier College
76.93,0.44,35.4,Urban,Computer Science,Top-Tier Government College
63.28,0.516,55.5,Urban,Commerce,Mid-Tier College
90.46,0.182,0.0,Rural,Pre-Engineering,Top-Tier Government College
71.02,0.789,29.6,Metro,Commerce,Mid-Tier College
88.69,0.029,41.1,Rural,Pre-Engineering,Top-Tier Government College
58.52,0.179,41.3,Urban,Commerce,Mid-Tier College
54.13,0.315,16.8,Rural,Commerce,Mid-Tier College
87.59,0.839,71.4,Metro,Computer Science,Top-Tier Government College
100.0,0.611,44.9,Urban,Pre-Medical,Top-Tier Government College
78.14,0.307,45.8,Urban,Pre-Engineering,Mid-Tier College
82.26,0.915,11.1,Urban,Pre-Engineering,Mid-Tier College
60.42,0.832,47.1,Rural,Arts/Humanities,Standard College
46.8,0.031,61.8,Metro,Arts/Humanities,Standard College
64.38,0.242,65.8,Urban,Commerce,Mid-Tier College
92.01,0.697,60.7,Urban,Pre-Medical,Top-Tier Government College
38.23,0.87,47.1,Metro,Arts/Humanities,Standard College
60.07,0.742,43.9,Urban,Commerce,Standard College
37.37,0.884,52.1,Urban,Arts/Humanities,Standard College
69.73,0.126,61.8,Metro,Computer Science,Mid-Tier College
81.99,0.008,43.9,Urban,Pre-Engineering,Top-Tier Government College
48.12,0.441,44.1,Metro,Arts/Humanities,Standard College
61.45,0.064,56.1,Urban,Arts/Humanities,Standard College
89.21,0.662,43.3,Metro,Pre-Medical,Top-Tier Government College
66.58,0.916,53.5,Rural,Computer Science,Mid-Tier College
48.17,0.419,51.0,Metro,Arts/Humanities,Standard College
46.94,0.579,30.0,Rural,Arts/Humanities,Standard College
35.77,0.388,78.2,Metro,Arts/Humanities,Standard College
80.37,0.164,61.7,Metro,Pre-Engineering,Top-Tier Government College
56.06,0.118,30.2,Metro,Commerce,Standard College
84.81,0.716,29.3,Urban,Computer Science,Mid-Tier College
81.87,0.904,38.5,Metro,Pre-Engineering,Mid-Tier College
57.44,0.365,36.3,Urban,Arts/Humanities,Standard College
59.55,0.136,28.6,Urban,Commerce,Standard College
80.46,0.829,52.5,Urban,Computer Science,Top-Tier Government College
70.39,0.262,41.6,Rural,Computer Science,Mid-Tier College
72.29,0.767,29.2,Rural,Computer Science,Mid-Tier College
41.65,0.652,78.4,Urban,Arts/Humanities,Standard College
82.36,0.31,41.1,Metro,Pre-Engineering,Mid-Tier College
53.99,0.511,54.3,Urban,Arts/Humanities,Mid-Tier College
33.0,0.37,21.4,Urban,Arts/Humanities,Standard College
58.13,0.125,26.0,Urban,Arts/Humanities,Standard College
74.75,0.224,27.8,Urban,Computer Science,Mid-Tier College
100.0,0.572,66.3,Rural,Pre-Medical,Top-Tier Government College
62.03,0.78,62.0,Metro,Arts/Humanities,Mid-Tier College
46.72,0.091,43.1,Metro,Arts/Humanities,Mid-Tier College
100.0,0.199,41.8,Rural,Pre-Engineering,Top-Tier Government College
70.56,0.011,54.2,Urban,Commerce,Mid-Tier College
63.82,0.984,30.6,Urban,Arts/Humanities,Mid-Tier College
50.78,0.107,42.8,Urban,Commerce,Standard College
51.94,0.38,66.4,Urban,Arts/Humanities,Mid-Tier College
91.66,0.055,29.9,Metro,Pre-Engineering,Top-Tier Government College
63.67,0.501,60.4,Rural,Commerce,Standard College
59.4,0.632,45.6,Rural,Commerce,Mid-Tier College
59.84,0.524,51.2,Metro,Commerce,Standard College
93.09,0.678,44.6,Metro,Pre-Medical,Top-Tier Government College
58.57,0.215,64.4,Rural,Arts/Humanities,Standard College
78.05,0.914,64.8,Metro,Pre-Engineering,Mid-Tier College
72.26,0.768,58.4,Urban,Commerce,Mid-Tier College
71.83,0.19,15.4,Metro,Computer Science,Mid-Tier College
53.96,0.453,50.0,Metro,Arts/Humanities,Standard College
78.54,0.02,70.9,Metro,Pre-Engineering,Mid-Tier College
93.74,0.829,27.6,Urban,Pre-Medical,Top-Tier Government College
67.17,0.896,17.3,Metro,Commerce,Top-Tier Government College
53.28,0.524,43.2,Rural,Commerce,Standard College
47.34,0.359,63.5,Rural,Arts/Humanities,Mid-Tier College
71.05,0.799,22.4,Rural,Commerce,Mid-Tier College
63.65,0.354,54.1,Urban,Arts/Humanities,Standard College
66.33,0.047,41.9,Rural,Commerce,Top-Tier Government College
68.19,0.664,46.7,Urban,Commerce,Top-Tier Government College
44.39,0.406,55.6,Metro,Arts/Humanities,Standard College
80.5,0.997,44.0,Urban,Computer Science,Top-Tier Government College
71.75,0.514,36.3,Metro,Computer Science,Top-Tier Government College
66.81,0.116,50.9,Urban,Commerce,Top-Tier Government College
71.71,0.784,78.0,Metro,Computer Science,Mid-Tier College
82.82,0.96,59.4,Metro,Pre-Engineering,Mid-Tier College
68.85,0.121,61.3,Urban,Commerce,Mid-Tier College
54.4,0.321,29.3,Metro,Commerce,Standard College
86.66,0.485,37.4,Rural,Pre-Engineering,Top-Tier Government College
61.07,0.707,21.5,Urban,Commerce,Mid-Tier College
56.39,0.703,66.0,Metro,Arts/Humanities,Mid-Tier College
43.01,0.624,67.5,Urban,Arts/Humanities,Standard College
68.13,0.864,56.3,Rural,Computer Science,Mid-Tier College
51.24,0.736,63.2,Rural,Arts/Humanities,Mid-Tier College
59.69,0.023,39.5,Metro,Commerce,Standard College
75.19,0.97,40.6,Urban,Commerce,Top-Tier Government College
68.53,0.829,71.7,Metro,Computer Science,Mid-Tier College
84.26,0.675,40.0,Urban,Pre-Engineering,Mid-Tier College
72.88,0.784,68.1,Urban,Computer Science,Mid-Tier College
61.54,0.825,80.7,Rural,Arts/Humanities,Mid-Tier College
62.72,0.05,25.3,Urban,Commerce,Mid-Tier College
59.88,0.635,30.6,Metro,Arts/Humanities,Mid-Tier College
78.34,0.141,81.6,Metro,Pre-Engineering,Top-Tier Government College
68.34,0.258,67.7,Rural,Computer Science,Top-Tier Government College
61.43,0.82,78.9,Metro,Commerce,Standard College
81.52,0.548,81.4,Urban,Pre-Engineering,Top-Tier Government College
69.54,0.301,42.4,Urban,Computer Science,Top-Tier Government College
60.55,0.191,88.2,Rural,Commerce,Mid-Tier College
43.8,0.478,75.7,Metro,Arts/Humanities,Standard College
75.0,0.106,68.7,Urban,Commerce,Top-Tier Government College
71.82,0.384,55.0,Metro,Commerce,Mid-Tier College
68.82,0.858,41.5,Urban,Commerce,Mid-Tier College
61.05,0.371,33.5,Metro,Arts/Humanities,Mid-Tier College
54.66,0.517,20.2,Rural,Arts/Humanities,Standard College
64.37,0.949,31.9,Urban,Arts/Humanities,Standard College
71.7,0.363,33.3,Urban,Commerce,Mid-Tier College
65.95,0.278,52.3,Urban,Computer Science,Mid-Tier College
65.68,0.416,34.7,Urban,Commerce,Mid-Tier College
60.51,0.389,13.7,Rural,Commerce,Mid-Tier College
73.42,0.96,52.0,Metro,Commerce,Mid-Tier College
71.74,0.014,8.0,Metro,Computer Science,Top-Tier Government College
55.96,0.151,41.7,Urban,Commerce,Mid-Tier College
80.16,0.784,62.0,Urban,Pre-Engineering,Mid-Tier College
80.66,0.003,18.1,Urban,Pre-Engineering,Top-Tier Government College
81.02,0.437,24.5,Rural,Computer Science,Mid-Tier College
65.91,0.696,47.3,Urban,Commerce,Top-Tier Government College
64.89,0.057,74.9,Rural,Commerce,Standard College
49.45,0.318,45.9,Urban,Arts/Humanities,Mid-Tier College
80.07,0.279,39.5,Rural,Computer Science,Top-Tier Government College
33.83,0.512,53.7,Metro,Arts/Humanities,Standard College
61.74,0.623,13.7,Metro,Arts/Humanities,Mid-Tier College
62.56,0.762,18.4,Urban,Commerce,Standard College
81.7,0.097,62.0,Urban,Computer Science,Mid-Tier College
67.99,0.243,64.2,Urban,Computer Science,Mid-Tier College
52.57,0.759,60.2,Rural,Arts/Humanities,Standard College
45.17,0.873,51.1,Urban,Arts/Humanities,Standard College
56.33,0.324,57.4,Urban,Arts/Humanities,Mid-Tier College
69.71,0.058,13.5,Metro,Commerce,Mid-Tier College
68.88,0.138,26.8,Rural,Computer Science,Top-Tier Government College
64.84,0.791,40.6,Metro,Commerce,Mid-Tier College
57.05,0.132,67.7,Rural,Commerce,Standard College
64.64,0.215,52.3,Rural,Arts/Humanities,Standard College
83.96,0.191,49.1,Rural,Computer Science,Mid-Tier College
50.39,0.414,26.1,Urban,Commerce,Standard College
68.54,0.642,51.0,Rural,Computer Science,Mid-Tier College
93.9,0.137,56.1,Rural,Pre-Engineering,Top-Tier Government College
76.87,0.472,60.0,Urban,Commerce,Top-Tier Government College
60.71,0.928,46.0,Rural,Commerce,Standard College
78.58,0.495,89.3,Metro,Pre-Engineering,Mid-Tier College
55.97,0.488,25.6,Urban,Commerce,Mid-Tier College
68.11,0.733,66.7,Urban,Commerce,Mid-Tier College
92.86,0.557,23.3,Urban,Pre-Medical,Top-Tier Government College
98.31,0.442,23.5,Urban,Pre-Engineering,Top-Tier Government College
40.66,0.842,63.1,Metro,Arts/Humanities,Standard College
79.2,0.141,41.0,Urban,Pre-Engineering,Mid-Tier College
99.18,0.206,33.9,Urban,Pre-Engineering,Top-Tier Government College
59.27,0.988,49.9,Urban,Commerce,Mid-Tier College
72.14,0.264,100.0,Rural,Commerce,Mid-Tier College
92.12,0.078,37.1,Rural,Pre-Engineering,Top-Tier Government College
60.12,0.164,42.6,Rural,Commerce,Mid-Tier College
75.23,0.944,73.8,Urban,Computer Science,Top-Tier Government College
67.05,0.184,38.1,Metro,Commerce,Mid-Tier College
37.19,0.532,97.2,Urban,Arts/Humanities,Standard College
73.54,0.734,23.8,Urban,Commerce,Mid-Tier College
65.05,0.026,45.1,Urban,Commerce,Mid-Tier College
82.85,0.282,69.0,Metro,Computer Science,Top-Tier Government College
100.0,0.735,44.9,Urban,Pre-Medical,Top-Tier Government College
78.94,0.274,39.6,Urban,Computer Science,Mid-Tier College
62.12,0.355,21.3,Metro,Commerce,Standard College
75.2,0.56,46.8,Urban,Commerce,Mid-Tier College
71.23,0.801,66.6,Metro,Computer Science,Mid-Tier College
84.37,0.314,44.1,Metro,Computer Science,Mid-Tier College
44.98,0.163,29.6,Metro,Arts/Humanities,Standard College
49.34,0.027,76.0,Rural,Arts/Humanities,Standard College
35.28,0.274,66.3,Metro,Arts/Humanities,Standard College
77.71,0.667,60.9,Urban,Computer Science,Mid-Tier College
67.7,0.913,45.0,Urban,Commerce,Mid-Tier College
57.76,0.503,32.2,Metro,Commerce,Standard College
56.4,0.147,72.2,Rural,Commerce,Standard College
58.84,0.62,50.6,Rural,Arts/Humanities,Standard College
53.15,0.097,41.8,Urban,Commerce,Standard College
62.86,0.13,45.6,Rural,Arts/Humanities,Mid-Tier College
60.09,0.139,57.0,Urban,Commerce,Standard College
90.24,0.926,66.1,Urban,Pre-Medical,Top-Tier Government College
73.17,0.62,48.8,Metro,Computer Science,Mid-Tier College
54.9,0.008,41.6,Urban,Commerce,Mid-Tier College
58.66,0.93,26.6,Rural,Commerce,Mid-Tier College
87.18,0.389,43.6,Urban,Pre-Engineering,Top-Tier Government College
75.24,0.166,44.9,Metro,Commerce,Mid-Tier College
72.72,0.677,55.5,Metro,Commerce,Mid-Tier College
79.53,0.513,48.7,Urban,Pre-Engineering,Mid-Tier College
93.38,0.627,38.4,Metro,Pre-Medical,Top-Tier Government College
48.52,0.441,46.8,Metro,Arts/Humanities,Mid-Tier College
56.07,0.22,61.5,Metro,Commerce,Standard College
40.15,0.005,47.1,Urban,Arts/Humanities,Standard College
75.92,0.66,45.6,Metro,Computer Science,Mid-Tier College
61.94,0.482,44.1,Urban,Arts/Humanities,Standard College
57.25,0.428,42.5,Urban,Commerce,Mid-Tier College
55.8,0.619,55.9,Urban,Commerce,Standard College
79.06,0.499,61.3,Rural,Pre-Engineering,Top-Tier Government College
65.73,0.917,43.3,Rural,Computer Science,Mid-Tier College
59.51,0.731,45.3,Rural,Arts/Humanities,Mid-Tier College
88.09,0.928,56.8,Metro,Pre-Medical,Top-Tier Government College
51.26,0.233,64.1,Urban,Commerce,Mid-Tier College
47.77,0.622,76.4,Urban,Arts/Humanities,Standard College
