intermediate_percentage,entry_test_score,field,city_tier,suggested_program,university_tier
76.04,52.07,Computer Science,Urban,Computer Science,Private University
88.84,79.55,Pre-Medical,Rural,Medicine (MBBS),Top Public University
72.9,73.19,Computer Science,Rural,Business Administration,Mid-Tier Public University
38.61,27.63,Computer Science,Metro,Business Administration,Private University
56.33,62.96,Arts/Humanities,Urban,Computer Science,Private University
59.89,58.17,Computer Science,Urban,Medicine (MBBS),Mid-Tier Public University
84.47,66.78,Computer Science,Rural,Computer Science,Top Public University
71.23,69.89,Pre-Engineering,Metro,Engineering,Private University
58.73,45.9,Computer Science,Rural,Computer Science,Private University
72.56,56.15,Pre-Medical,Rural,Social Sciences,Private University
60.67,57.03,Pre-Medical,Metro,Social Sciences,Private University
74.24,69.42,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
68.31,75.7,Pre-Medical,Metro,Computer Science,Mid-Tier Public University
82.63,63.54,Arts/Humanities,Urban,Social Sciences,Top Public University
71.03,49.95,Commerce,Urban,Business Administration,Mid-Tier Public University
80.94,87.63,Computer Science,Rural,Computer Science,Mid-Tier Public University
65.84,61.47,Computer Science,Urban,Engineering,Private University
76.68,73.94,Arts/Humanities,Metro,Social Sciences,Private University
63.73,59.93,Commerce,Rural,Social Sciences,Private University
75.66,55.71,Computer Science,Urban,Computer Science,Mid-Tier Public University
69.36,53.3,Commerce,Rural,Computer Science,Mid-Tier Public University
64.14,66.9,Computer Science,Urban,Business Administration,Top Public University
59.71,60.27,Arts/Humanities,Metro,Social Sciences,Private University
61.89,58.35,Commerce,Rural,Engineering,Mid-Tier Public University
73.1,82.03,Computer Science,Urban,Social Sciences,Mid-Tier Public University
33.0,50.24,Computer Science,Urban,Computer Science,Private University
84.61,82.2,Arts/Humanities,Urban,Social Sciences,Top Public University
33.0,40.4,Pre-Engineering,Urban,Business Administration,Private University
63.16,75.05,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
61.06,59.48,Pre-Engineering,Metro,Business Administration,Private University
77.09,74.54,Computer Science,Urban,Computer Science,Mid-Tier Public University
69.54,55.53,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
65.35,77.92,Commerce,Rural,Engineering,Mid-Tier Public University
67.26,71.97,Computer Science,Metro,Business Administration,Mid-Tier Public University
80.19,81.3,Computer Science,Rural,Computer Science,Mid-Tier Public University
100.0,91.78,Commerce,Rural,Business Administration,Mid-Tier Public University
71.66,83.89,Pre-Engineering,Metro,Business Administration,Top Public University
35.11,15.42,Commerce,Rural,Computer Science,Private University
59.71,67.78,Pre-Medical,Urban,Computer Science,Private University
72.3,85.61,Computer Science,Urban,Business Administration,Mid-Tier Public University
100.0,98.65,Commerce,Rural,Business Administration,Top Public University
54.52,41.75,Commerce,Metro,Engineering,Private University
60.42,47.44,Commerce,Rural,Engineering,Private University
74.39,83.91,Computer Science,Metro,Social Sciences,Private University
70.85,68.64,Commerce,Metro,Medicine (MBBS),Top Public University
46.14,54.67,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
80.21,71.13,Pre-Engineering,Urban,Engineering,Top Public University
46.26,31.34,Commerce,Rural,Business Administration,Private University
62.0,95.21,Commerce,Rural,Social Sciences,Mid-Tier Public University
85.87,74.16,Arts/Humanities,Rural,Social Sciences,Top Public University
46.22,55.29,Computer Science,Urban,Computer Science,Mid-Tier Public University
60.83,74.1,Commerce,Urban,Computer Science,Mid-Tier Public University
91.05,91.15,Computer Science,Metro,Computer Science,Top Public University
62.09,65.74,Pre-Engineering,Rural,Computer Science,Private University
50.27,55.34,Commerce,Urban,Business Administration,Mid-Tier Public University
57.27,79.15,Commerce,Rural,Computer Science,Mid-Tier Public University
78.55,78.99,Commerce,Urban,Business Administration,Top Public University
42.46,50.08,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
56.5,78.22,Arts/Humanities,Urban,Computer Science,Top Public University
44.12,33.43,Pre-Engineering,Urban,Engineering,Private University
48.62,35.57,Pre-Engineering,Rural,Business Administration,Private University
85.31,88.42,Pre-Engineering,Rural,Engineering,Top Public University
64.73,64.09,Computer Science,Metro,Computer Science,Mid-Tier Public University
59.4,73.05,Arts/Humanities,Rural,Social Sciences,Top Public University
72.38,84.7,Commerce,Rural,Business Administration,Mid-Tier Public University
55.26,57.38,Pre-Engineering,Urban,Computer Science,Top Public University
47.91,58.81,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
83.21,83.05,Computer Science,Urban,Computer Science,Top Public University
79.17,100.0,Commerce,Metro,Business Administration,Top Public University
53.27,70.06,Commerce,Urban,Computer Science,Private University
76.57,78.08,Computer Science,Metro,Computer Science,Mid-Tier Public University
87.9,100.0,Pre-Medical,Rural,Medicine (MBBS),Top Public University
73.36,78.6,Computer Science,Urban,Business Administration,Top Public University
73.5,87.22,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
47.33,40.43,Pre-Medical,Urban,Social Sciences,Private University
63.98,53.82,Commerce,Metro,Medicine (MBBS),Private University
37.87,61.65,Computer Science,Metro,Business Administration,Private University
82.73,81.11,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
63.38,55.01,Arts/Humanities,Urban,Social Sciences,Private University
85.89,79.89,Computer Science,Urban,Computer Science,Mid-Tier Public University
54.33,67.39,Commerce,Urban,Business Administration,Private University
79.15,76.38,Commerce,Urban,Business Administration,Mid-Tier Public University
42.09,33.55,Pre-Engineering,Metro,Business Administration,Private University
59.86,31.5,Commerce,Urban,Business Administration,Private University
74.2,66.9,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
71.34,76.32,Arts/Humanities,Urban,Computer Science,Top Public University
65.08,61.22,Computer Science,Metro,Social Sciences,Private University
41.13,35.67,Arts/Humanities,Urban,Computer Science,Private University
85.92,100.0,Arts/Humanities,Rural,Social Sciences,Top Public University
75.93,85.35,Computer Science,Urban,Computer Science,Mid-Tier Public University
83.17,79.19,Pre-Engineering,Metro,Engineering,Private University
82.97,91.57,Pre-Engineering,Metro,Engineering,Top Public University
60.29,50.84,Computer Science,Metro,Medicine (MBBS),Mid-Tier Public University
71.89,81.42,Arts/Humanities,Urban,Computer Science,Mid-Tier Public University
100.0,100.0,Pre-Medical,Metro,Medicine (MBBS),Mid-Tier Public University
53.32,52.77,Pre-Engineering,Urban,Business Administration,Private University
72.13,89.78,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
57.5,54.32,Computer Science,Urban,Social Sciences,Private University
92.43,78.57,Commerce,Urban,Business Administration,Top Public University
68.6,66.93,Commerce,Rural,Engineering,Top Public University
50.24,49.58,Commerce,Rural,Medicine (MBBS),Mid-Tier Public University
56.81,68.89,Arts/Humanities,Metro,Computer Science,Private University
44.65,47.83,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
33.0,26.32,Computer Science,Rural,Business Administration,Mid-Tier Public University
33.0,29.43,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
54.93,56.13,Arts/Humanities,Rural,Engineering,Private University
48.82,56.2,Commerce,Urban,Business Administration,Mid-Tier Public University
68.21,57.05,Computer Science,Metro,Social Sciences,Private University
53.41,46.73,Computer Science,Urban,Business Administration,Mid-Tier Public University
69.36,69.4,Computer Science,Urban,Computer Science,Top Public University
92.82,82.49,Computer Science,Urban,Computer Science,Top Public University
48.1,62.18,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
47.56,48.71,Pre-Engineering,Metro,Business Administration,Private University
80.87,68.38,Commerce,Urban,Business Administration,Mid-Tier Public University
100.0,90.87,Arts/Humanities,Metro,Social Sciences,Top Public University
52.68,66.89,Commerce,Rural,Social Sciences,Mid-Tier Public University
40.3,35.18,Commerce,Urban,Computer Science,Private University
61.53,50.6,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
59.79,68.4,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
76.73,90.39,Computer Science,Rural,Computer Science,Top Public University
49.81,30.67,Commerce,Rural,Social Sciences,Private University
61.94,65.0,Arts/Humanities,Metro,Business Administration,Private University
61.21,82.51,Arts/Humanities,Urban,Business Administration,Private University
41.97,68.47,Commerce,Rural,Social Sciences,Mid-Tier Public University
42.07,55.32,Arts/Humanities,Urban,Computer Science,Private University
72.71,81.21,Commerce,Urban,Social Sciences,Private University
74.24,60.51,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
53.83,63.14,Arts/Humanities,Urban,Engineering,Private University
89.71,84.15,Pre-Medical,Metro,Medicine (MBBS),Top Public University
80.15,76.71,Commerce,Metro,Business Administration,Mid-Tier Public University
72.99,81.96,Computer Science,Metro,Social Sciences,Private University
75.21,67.03,Commerce,Metro,Business Administration,Mid-Tier Public University
71.25,66.73,Pre-Medical,Urban,Computer Science,Private University
76.92,99.86,Computer Science,Urban,Computer Science,Mid-Tier Public University
79.09,88.01,Pre-Engineering,Metro,Engineering,Top Public University
66.97,47.65,Computer Science,Urban,Engineering,Private University
34.67,25.95,Arts/Humanities,Urban,Engineering,Private University
63.45,49.48,Pre-Engineering,Rural,Social Sciences,Private University
53.21,56.7,Pre-Engineering,Urban,Business Administration,Private University
47.79,34.87,Pre-Engineering,Urban,Business Administration,Private University
75.0,73.6,Commerce,Urban,Business Administration,Mid-Tier Public University
38.73,39.42,Pre-Engineering,Metro,Social Sciences,Private University
78.56,84.56,Arts/Humanities,Metro,Social Sciences,Top Public University
56.13,57.74,Pre-Engineering,Rural,Social Sciences,Mid-Tier Public University
47.15,49.9,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
52.59,52.17,Arts/Humanities,Metro,Business Administration,Private University
100.0,89.75,Pre-Engineering,Metro,Engineering,Top Public University
88.36,99.27,Computer Science,Metro,Computer Science,Top Public University
61.54,62.22,Commerce,Urban,Engineering,Mid-Tier Public University
82.16,73.15,Computer Science,Rural,Computer Science,Private University
93.06,77.45,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
52.54,53.99,Computer Science,Urban,Computer Science,Private University
61.48,73.5,Arts/Humanities,Metro,Business Administration,Top Public University
79.91,82.4,Commerce,Metro,Business Administration,Mid-Tier Public University
71.99,56.82,Arts/Humanities,Metro,Medicine (MBBS),Mid-Tier Public University
60.17,54.61,Pre-Engineering,Urban,Business Administration,Private University
90.74,78.03,Commerce,Metro,Business Administration,Top Public University
73.65,69.24,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
77.98,87.11,Pre-Medical,Rural,Medicine (MBBS),Top Public University
100.0,100.0,Computer Science,Rural,Computer Science,Top Public University
73.37,71.77,Pre-Medical,Metro,Business Administration,Top Public University
100.0,92.81,Computer Science,Urban,Computer Science,Top Public University
70.56,64.7,Pre-Medical,Urban,Social Sciences,Mid-Tier Public University
63.42,64.14,Computer Science,Metro,Social Sciences,Mid-Tier Public University
67.86,44.44,Computer Science,Rural,Engineering,Mid-Tier Public University
79.26,73.07,Arts/Humanities,Urban,Social Sciences,Private University
75.93,51.4,Commerce,Metro,Business Administration,Private University
71.59,82.43,Pre-Engineering,Metro,Engineering,Private University
43.13,29.09,Commerce,Metro,Social Sciences,Mid-Tier Public University
49.2,58.51,Arts/Humanities,Urban,Engineering,Private University
61.79,42.02,Computer Science,Urban,Social Sciences,Private University
77.02,95.77,Computer Science,Urban,Computer Science,Private University
88.02,95.87,Pre-Engineering,Urban,Engineering,Top Public University
33.0,34.51,Commerce,Metro,Social Sciences,Private University
63.55,58.84,Arts/Humanities,Urban,Computer Science,Mid-Tier Public University
58.78,54.43,Pre-Engineering,Urban,Engineering,Private University
64.13,59.37,Arts/Humanities,Rural,Computer Science,Private University
69.02,78.95,Arts/Humanities,Rural,Medicine (MBBS),Mid-Tier Public University
52.7,58.72,Commerce,Urban,Social Sciences,Private University
45.48,55.65,Commerce,Urban,Engineering,Mid-Tier Public University
81.29,74.97,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
77.3,73.3,Commerce,Metro,Business Administration,Mid-Tier Public University
59.36,39.27,Commerce,Urban,Computer Science,Private University
63.9,40.4,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
55.14,56.16,Arts/Humanities,Urban,Engineering,Private University
44.14,35.67,Arts/Humanities,Rural,Engineering,Private University
75.7,76.02,Commerce,Urban,Business Administration,Private University
55.5,52.52,Commerce,Metro,Computer Science,Private University
48.55,43.78,Computer Science,Metro,Engineering,Private University
56.5,54.6,Commerce,Metro,Engineering,Private University
90.86,65.7,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
72.53,67.81,Pre-Medical,Urban,Computer Science,Private University
69.34,71.23,Pre-Medical,Metro,Business Administration,Private University
67.12,65.0,Commerce,Metro,Computer Science,Private University
78.95,80.95,Commerce,Urban,Business Administration,Mid-Tier Public University
76.96,50.64,Computer Science,Metro,Computer Science,Mid-Tier Public University
45.71,53.09,Pre-Medical,Metro,Engineering,Private University
62.03,67.1,Arts/Humanities,Metro,Social Sciences,Private University
55.74,60.7,Arts/Humanities,Metro,Computer Science,Private University
68.97,70.28,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
64.71,69.11,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
35.02,44.63,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
83.27,77.26,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
69.63,67.26,Commerce,Urban,Social Sciences,Top Public University
39.02,43.91,Commerce,Rural,Social Sciences,Private University
83.11,66.13,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
67.46,73.03,Arts/Humanities,Metro,Computer Science,Top Public University
72.79,62.89,Commerce,Rural,Social Sciences,Mid-Tier Public University
65.98,58.86,Computer Science,Urban,Social Sciences,Mid-Tier Public University
67.98,58.6,Commerce,Metro,Engineering,Private University
57.74,59.26,Pre-Medical,Urban,Social Sciences,Private University
39.94,24.5,Pre-Engineering,Rural,Engineering,Private University
55.94,69.58,Pre-Engineering,Metro,Computer Science,Mid-Tier Public University
68.14,60.31,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
65.95,55.49,Pre-Engineering,Rural,Business Administration,Top Public University
75.3,91.75,Computer Science,Rural,Computer Science,Top Public University
63.84,62.4,Computer Science,Urban,Social Sciences,Private University
33.0,13.09,Commerce,Rural,Social Sciences,Mid-Tier Public University
76.46,76.22,Computer Science,Metro,Computer Science,Mid-Tier Public University
52.82,61.49,Commerce,Urban,Computer Science,Private University
44.62,60.29,Computer Science,Metro,Computer Science,Private University
60.23,70.69,Commerce,Rural,Business Administration,Mid-Tier Public University
44.23,42.99,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
70.57,99.78,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
50.9,49.05,Pre-Engineering,Urban,Computer Science,Private University
94.69,74.57,Commerce,Metro,Business Administration,Top Public University
61.17,83.47,Computer Science,Metro,Engineering,Mid-Tier Public University
56.46,72.59,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
54.95,65.89,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
33.0,60.95,Arts/Humanities,Urban,Business Administration,Private University
51.62,62.64,Arts/Humanities,Urban,Business Administration,Private University
53.31,53.67,Arts/Humanities,Metro,Engineering,Private University
59.84,64.92,Computer Science,Rural,Business Administration,Top Public University
33.0,23.85,Arts/Humanities,Urban,Business Administration,Private University
65.52,71.25,Computer Science,Urban,Engineering,Mid-Tier Public University
84.59,75.67,Computer Science,Urban,Computer Science,Private University
58.39,48.24,Computer Science,Metro,Business Administration,Mid-Tier Public University
64.15,46.5,Pre-Engineering,Urban,Computer Science,Private University
71.51,71.33,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
52.78,59.94,Commerce,Rural,Social Sciences,Private University
58.34,52.75,Pre-Engineering,Rural,Business Administration,Private University
79.64,59.12,Commerce,Urban,Business Administration,Mid-Tier Public University
68.02,56.18,Computer Science,Rural,Social Sciences,Mid-Tier Public University
46.41,44.06,Computer Science,Rural,Business Administration,Mid-Tier Public University
37.94,33.59,Arts/Humanities,Rural,Business Administration,Private University
100.0,92.61,Arts/Humanities,Rural,Social Sciences,Top Public University
72.08,57.21,Pre-Medical,Metro,Business Administration,Mid-Tier Public University
41.08,59.95,Commerce,Urban,Social Sciences,Mid-Tier Public University
67.73,67.86,Pre-Engineering,Metro,Engineering,Top Public University
75.75,79.21,Computer Science,Urban,Computer Science,Mid-Tier Public University
67.25,68.02,Pre-Engineering,Metro,Computer Science,Mid-Tier Public University
36.81,22.86,Commerce,Metro,Computer Science,Private University
93.18,100.0,Commerce,Urban,Business Administration,Top Public University
74.7,67.66,Pre-Medical,Metro,Engineering,Top Public University
62.59,59.33,Pre-Engineering,Metro,Computer Science,Private University
76.04,67.77,Computer Science,Metro,Computer Science,Top Public University
62.22,46.79,Commerce,Urban,Social Sciences,Private University
60.56,60.71,Pre-Medical,Urban,Medicine (MBBS),Private University
79.31,67.98,Commerce,Urban,Business Administration,Top Public University
35.48,34.5,Pre-Engineering,Urban,Social Sciences,Private University
81.06,84.08,Pre-Engineering,Rural,Engineering,Top Public University
71.88,90.5,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
77.43,59.81,Arts/Humanities,Rural,Social Sciences,Private University
79.81,96.98,Commerce,Urban,Business Administration,Top Public University
89.68,100.0,Commerce,Urban,Business Administration,Top Public University
87.97,81.81,Pre-Engineering,Urban,Engineering,Top Public University
79.5,81.6,Commerce,Urban,Business Administration,Mid-Tier Public University
60.13,73.04,Arts/Humanities,Rural,Computer Science,Top Public University
76.6,64.41,Computer Science,Urban,Computer Science,Mid-Tier Public University
58.79,77.81,Pre-Medical,Urban,Engineering,Private University
51.55,33.89,Computer Science,Rural,Business Administration,Private University
73.15,79.61,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
71.7,72.55,Pre-Engineering,Rural,Business Administration,Private University
84.45,73.79,Computer Science,Urban,Computer Science,Top Public University
33.59,24.33,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
75.44,74.53,Commerce,Metro,Business Administration,Mid-Tier Public University
76.59,71.48,Pre-Engineering,Urban,Engineering,Top Public University
68.1,64.45,Commerce,Metro,Business Administration,Top Public University
89.03,83.54,Pre-Engineering,Urban,Engineering,Top Public University
53.08,61.15,Commerce,Rural,Social Sciences,Mid-Tier Public University
71.61,74.0,Commerce,Urban,Engineering,Mid-Tier Public University
60.79,61.87,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
66.27,69.8,Pre-Engineering,Rural,Medicine (MBBS),Private University
51.71,55.42,Computer Science,Rural,Engineering,Mid-Tier Public University
64.4,79.27,Commerce,Metro,Social Sciences,Top Public University
76.81,77.48,Commerce,Urban,Business Administration,Top Public University
68.38,70.53,Pre-Engineering,Rural,Medicine (MBBS),Mid-Tier Public University
71.83,64.37,Commerce,Urban,Social Sciences,Mid-Tier Public University
54.87,39.37,Pre-Engineering,Urban,Business Administration,Private University
90.78,82.02,Commerce,Metro,Business Administration,Mid-Tier Public University
55.95,53.08,Computer Science,Urban,Computer Science,Private University
66.88,51.3,Commerce,Urban,Computer Science,Private University
75.56,88.08,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
63.82,51.94,Commerce,Metro,Social Sciences,Private University
78.15,79.37,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
69.56,61.17,Computer Science,Urban,Business Administration,Mid-Tier Public University
92.58,94.53,Pre-Engineering,Metro,Engineering,Top Public University
75.01,83.63,Commerce,Urban,Business Administration,Private University
72.68,87.98,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
54.32,39.97,Computer Science,Urban,Computer Science,Mid-Tier Public University
73.66,85.26,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
81.91,74.13,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
72.93,89.45,Computer Science,Urban,Computer Science,Top Public University
52.43,35.81,Computer Science,Metro,Social Sciences,Private University
58.26,50.18,Pre-Medical,Urban,Social Sciences,Top Public University
63.03,61.68,Commerce,Rural,Business Administration,Private University
66.85,80.89,Arts/Humanities,Urban,Social Sciences,Top Public University
45.47,45.91,Pre-Medical,Metro,Business Administration,Private University
94.98,100.0,Computer Science,Urban,Computer Science,Top Public University
64.98,68.82,Commerce,Metro,Business Administration,Mid-Tier Public University
68.21,77.17,Commerce,Metro,Social Sciences,Mid-Tier Public University
59.76,57.77,Pre-Engineering,Urban,Social Sciences,Private University
65.81,61.97,Pre-Medical,Urban,Computer Science,Private University
95.58,95.94,Computer Science,Urban,Computer Science,Mid-Tier Public University
52.02,51.46,Pre-Engineering,Metro,Engineering,Private University
58.52,52.97,Pre-Engineering,Urban,Business Administration,Private University
50.66,45.68,Arts/Humanities,Metro,Medicine (MBBS),Mid-Tier Public University
58.0,35.24,Arts/Humanities,Rural,Business Administration,Private University
89.55,69.86,Commerce,Urban,Business Administration,Top Public University
56.78,45.9,Arts/Humanities,Metro,Business Administration,Private University
59.39,52.11,Commerce,Urban,Business Administration,Private University
38.88,23.18,Commerce,Rural,Engineering,Private University
60.83,83.49,Arts/Humanities,Urban,Business Administration,Top Public University
69.73,56.74,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
58.88,62.31,Commerce,Urban,Computer Science,Private University
60.25,69.46,Commerce,Urban,Social Sciences,Private University
78.39,67.56,Arts/Humanities,Metro,Social Sciences,Private University
74.28,79.58,Computer Science,Urban,Business Administration,Top Public University
64.73,62.55,Computer Science,Metro,Social Sciences,Private University
54.45,42.42,Pre-Engineering,Urban,Medicine (MBBS),Private University
43.52,52.62,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
91.73,100.0,Arts/Humanities,Urban,Social Sciences,Top Public University
42.9,74.83,Pre-Engineering,Rural,Computer Science,Private University
76.07,88.97,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
63.32,50.54,Commerce,Metro,Engineering,Private University
55.22,68.1,Arts/Humanities,Rural,Business Administration,Private University
79.68,59.74,Commerce,Rural,Business Administration,Top Public University
55.12,50.42,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
85.38,55.68,Commerce,Rural,Business Administration,Mid-Tier Public University
50.78,59.15,Computer Science,Urban,Engineering,Private University
73.79,73.8,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
85.62,100.0,Commerce,Metro,Business Administration,Top Public University
51.72,62.27,Commerce,Urban,Engineering,Private University
98.03,93.19,Commerce,Metro,Business Administration,Top Public University
79.27,85.7,Pre-Engineering,Metro,Engineering,Top Public University
33.0,42.32,Pre-Medical,Urban,Computer Science,Private University
87.33,77.29,Commerce,Urban,Business Administration,Mid-Tier Public University
95.18,86.84,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
62.41,62.63,Commerce,Metro,Engineering,Mid-Tier Public University
63.43,38.05,Pre-Engineering,Urban,Social Sciences,Private University
71.97,47.4,Arts/Humanities,Metro,Social Sciences,Private University
37.69,38.31,Commerce,Urban,Computer Science,Private University
68.7,65.47,Computer Science,Urban,Social Sciences,Mid-Tier Public University
80.44,73.6,Commerce,Metro,Business Administration,Mid-Tier Public University
58.05,84.52,Pre-Medical,Rural,Business Administration,Mid-Tier Public University
83.14,85.22,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
99.65,100.0,Computer Science,Metro,Computer Science,Mid-Tier Public University
36.76,39.82,Pre-Medical,Urban,Computer Science,Private University
39.04,38.59,Commerce,Urban,Computer Science,Mid-Tier Public University
55.67,49.91,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
75.87,57.84,Commerce,Rural,Business Administration,Top Public University
72.09,71.8,Pre-Medical,Urban,Business Administration,Mid-Tier Public University
52.46,46.05,Arts/Humanities,Metro,Social Sciences,Private University
49.18,57.58,Computer Science,Metro,Computer Science,Mid-Tier Public University
55.25,45.99,Arts/Humanities,Rural,Engineering,Mid-Tier Public University
91.92,82.5,Pre-Engineering,Urban,Engineering,Private University
51.91,52.31,Pre-Engineering,Urban,Business Administration,Private University
57.54,37.95,Computer Science,Rural,Business Administration,Mid-Tier Public University
80.69,70.44,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
62.22,61.48,Commerce,Metro,Computer Science,Private University
51.3,47.39,Commerce,Urban,Computer Science,Private University
87.91,83.78,Commerce,Urban,Business Administration,Top Public University
71.36,72.41,Pre-Engineering,Rural,Social Sciences,Mid-Tier Public University
55.96,58.39,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
60.55,90.23,Commerce,Metro,Computer Science,Mid-Tier Public University
80.42,78.98,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
60.88,51.19,Pre-Engineering,Urban,Computer Science,Top Public University
70.32,82.43,Pre-Engineering,Urban,Social Sciences,Top Public University
79.87,84.58,Pre-Engineering,Urban,Engineering,Top Public University
81.51,79.24,Commerce,Urban,Business Administration,Top Public University
38.73,57.09,Computer Science,Rural,Engineering,Private University
59.14,38.45,Arts/Humanities,Urban,Business Administration,Private University
61.48,65.66,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
68.1,63.59,Commerce,Rural,Medicine (MBBS),Private University
78.2,82.22,Commerce,Metro,Business Administration,Mid-Tier Public University
84.23,88.11,Computer Science,Rural,Computer Science,Top Public University
59.78,63.83,Computer Science,Urban,Social Sciences,Private University
49.96,58.8,Arts/Humanities,Rural,Engineering,Private University
69.59,61.36,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
57.68,51.14,Arts/Humanities,Metro,Computer Science,Private University
92.81,100.0,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
72.16,72.33,Computer Science,Rural,Business Administration,Mid-Tier Public University
67.6,63.32,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
81.79,70.29,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
56.89,56.83,Pre-Medical,Metro,Computer Science,Private University
61.63,47.88,Arts/Humanities,Metro,Computer Science,Private University
64.16,82.18,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
76.65,100.0,Computer Science,Urban,Computer Science,Top Public University
86.45,94.17,Computer Science,Rural,Computer Science,Top Public University
78.73,70.32,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
78.26,91.02,Pre-Engineering,Metro,Engineering,Top Public University
63.47,45.97,Arts/Humanities,Rural,Business Administration,Private University
72.49,80.6,Commerce,Urban,Business Administration,Private University
63.37,62.31,Arts/Humanities,Rural,Computer Science,Private University
84.29,96.23,Pre-Medical,Metro,Medicine (MBBS),Mid-Tier Public University
57.4,51.63,Pre-Engineering,Metro,Business Administration,Private University
65.77,68.94,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
70.49,83.94,Computer Science,Rural,Computer Science,Mid-Tier Public University
78.69,76.96,Commerce,Rural,Business Administration,Top Public University
55.92,73.62,Commerce,Metro,Medicine (MBBS),Mid-Tier Public University
63.4,60.48,Computer Science,Urban,Computer Science,Private University
54.47,54.08,Pre-Medical,Urban,Social Sciences,Mid-Tier Public University
46.63,65.7,Computer Science,Urban,Computer Science,Mid-Tier Public University
83.22,80.13,Commerce,Metro,Business Administration,Mid-Tier Public University
73.75,74.74,Arts/Humanities,Rural,Business Administration,Private University
44.24,37.34,Computer Science,Rural,Business Administration,Private University
52.13,42.87,Computer Science,Metro,Medicine (MBBS),Private University
75.18,91.4,Commerce,Metro,Business Administration,Top Public University
57.66,62.68,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
50.94,39.02,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
85.6,80.13,Pre-Medical,Metro,Medicine (MBBS),Top Public University
59.46,60.28,Pre-Engineering,Metro,Business Administration,Private University
61.17,72.82,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
75.21,83.6,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
56.01,62.13,Commerce,Urban,Computer Science,Mid-Tier Public University
67.02,54.05,Pre-Engineering,Rural,Business Administration,Private University
